%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.longitude,field.attitude,field.utm_easting,field.utm_northing,field.quality
1582906595052319205,4631,1582906595051789999,,42.3387627417,-71.0846421317,4.19,328270.037951,4689494.38878,4
1582906595267813264,4632,1582906595267493963,,42.3387609667,-71.084643935,4.183,328269.884557,4689494.19532,4
1582906595452615457,4633,1582906595452081918,,42.3387592833,-71.08464575,4.209,328269.730451,4689494.01207,4
1582906595648751573,4634,1582906595648130893,,42.338757635,-71.0846479717,4.194,328269.542938,4689493.83352,4
1582906595850445311,4635,1582906595849936008,,42.3387559033,-71.0846506083,4.196,328269.32101,4689493.64656,4
1582906596047813957,4636,1582906596046842098,,42.338754175,-71.0846528067,4.202,328269.135202,4689493.45908,4
1582906596261970944,4637,1582906596260783910,,42.3387524333,-71.0846546883,4.165,328268.975445,4689493.26948,4
1582906596452327167,4638,1582906596451965093,,42.3387505183,-71.08465649,4.184,328268.821807,4689493.06047,4
1582906596646144946,4639,1582906596645426034,,42.338748985,-71.0846585617,4.202,328268.646964,4689492.89439,4
1582906596853144195,4640,1582906596852526903,,42.33874727,-71.0846607767,4.154,328268.459819,4689492.70843,4
1582906597047307443,4641,1582906597046643972,,42.338745515,-71.0846628217,4.187,328268.28657,4689492.51768,4
1582906597267220590,4642,1582906597266155958,,42.33874373,-71.084664615,4.176,328268.133972,4689492.32309,4
1582906597451147814,4643,1582906597450548887,,42.33874206,-71.0846666,4.185,328267.965897,4689492.14166,4
1582906597648079840,4644,1582906597647269010,,42.3387403317,-71.0846685317,4.187,328267.802058,4689491.95364,4
1582906597850398580,4645,1582906597849864006,,42.3387387733,-71.084670665,4.175,328267.622067,4689491.78491,4
1582906598046700444,4646,1582906598046204090,,42.338737175,-71.0846726533,4.145,328267.453912,4689491.61144,4
1582906598251286434,4647,1582906598250798940,,42.3387355533,-71.0846744967,4.171,328267.29764,4689491.43509,4
1582906598455979534,4648,1582906598455405950,,42.338733995,-71.0846761883,4.145,328267.154035,4689491.26547,4
1582906598650711339,4649,1582906598650221109,,42.338732265,-71.0846779117,4.164,328267.007353,4689491.07684,4
1582906598846361025,4650,1582906598845546007,,42.338731045,-71.08467981,4.177,328266.847643,4689490.94521,4
1582906599052478100,4651,1582906599051791906,,42.33872982,-71.0846816033,4.156,328266.69657,4689490.8128,4
1582906599262603287,4652,1582906599261431932,,42.3387284033,-71.0846835883,4.142,328266.529185,4689490.6595,4
1582906599454043900,4653,1582906599453468084,,42.33872765,-71.0846856167,4.189,328266.360035,4689490.57995,4
1582906599647344382,4654,1582906599646512985,,42.3387274667,-71.0846876617,4.182,328266.191065,4689490.56372,4
1582906599849879987,4655,1582906599849344015,,42.33872769,-71.08468956,4.164,328266.035284,4689490.59235,4
1582906600052285357,4656,1582906600051736116,,42.33872833,-71.0846913317,4.155,328265.891073,4689490.667,4
1582906600262233746,4657,1582906600261291980,,42.33872913,-71.084693135,4.188,328265.744688,4689490.75947,4
1582906600455134705,4658,1582906600454191923,,42.3387300967,-71.0846946667,4.155,328265.621138,4689490.86991,4
1582906600649289004,4659,1582906600648756980,,42.338731115,-71.0846962867,4.151,328265.490451,4689490.98626,4
1582906600853095294,4660,1582906600852529048,,42.3387320467,-71.084698435,4.156,328265.316004,4689491.09405,4
1582906601057741589,4661,1582906601057151079,,42.3387329067,-71.0847000367,4.194,328265.186396,4689491.19278,4
1582906601263260545,4662,1582906601262667894,,42.3387339283,-71.0847019017,4.216,328265.035535,4689491.31,4
1582906601458355358,4663,1582906601457248926,,42.3387352033,-71.0847040317,4.222,328264.863532,4689491.45588,4
1582906601652497479,4664,1582906601651812076,,42.338736545,-71.084706195,4.232,328264.688965,4689491.60923,4
1582906601858387971,4665,1582906601857552051,,42.338737895,-71.084708415,4.22,328264.509752,4689491.76362,4
1582906602052778442,4666,1582906602052247047,,42.33873917,-71.0847105617,4.232,328264.336376,4689491.90954,4
1582906602258070260,4667,1582906602256947994,,42.3387405283,-71.0847127,4.235,328264.163913,4689492.06469,4
1582906602441192699,4668,1582906602440629959,,42.3387419783,-71.0847148317,4.212,328263.99225,4689492.23,4
1582906602645249241,4669,1582906602644680023,,42.3387436767,-71.0847170833,4.221,328263.811376,4689492.42314,4
1582906602837583521,4670,1582906602837047100,,42.3387451483,-71.0847194817,4.194,328263.617803,4689492.5914,4
1582906603042786271,4671,1582906603041610956,,42.3387464983,-71.08472187,4.184,328263.424722,4689492.74613,4
1582906603256882651,4672,1582906603256321907,,42.3387480467,-71.08472412,4.221,328263.243578,4689492.92261,4
1582906603442293066,4673,1582906603441174983,,42.3387495567,-71.08472616,4.211,328263.079629,4689493.0944,4
1582906603647402691,4674,1582906603646249055,,42.3387511567,-71.0847282767,4.178,328262.90961,4689493.27634,4
1582906603840092773,4675,1582906603839407920,,42.3387527833,-71.0847306017,4.215,328262.7225,4689493.46167,4
1582906604042085587,4676,1582906604041496992,,42.338754245,-71.0847329767,4.187,328262.530822,4689493.62877,4
1582906604248667185,4677,1582906604247509956,,42.33875559,-71.0847355033,4.184,328262.326331,4689493.78323,4
1582906604441739303,4678,1582906604440603971,,42.3387571767,-71.084737535,4.197,328262.163278,4689493.96352,4
1582906604642958139,4679,1582906604642436981,,42.338758765,-71.0847397117,4.188,328261.988284,4689494.14429,4
1582906604845288110,4680,1582906604844187021,,42.3387602967,-71.084741895,4.218,328261.812586,4689494.31878,4
1582906605047477773,4681,1582906605046365022,,42.33876171,-71.08474401,4.21,328261.642196,4689494.47999,4
1582906605250040170,4682,1582906605249501943,,42.338763015,-71.0847463217,4.188,328261.455309,4689494.62957,4
1582906605439478229,4683,1582906605438714981,,42.3387645917,-71.08474848,4.236,328261.281793,4689494.809,4
1582906605640769254,4684,1582906605639574050,,42.3387661233,-71.0847506167,4.215,328261.10994,4689494.9834,4
1582906605842695375,4685,1582906605842149972,,42.33876765,-71.084752865,4.177,328260.928874,4689495.15746,4
